fold,train_start,sel_start,test_start,test_end,seed,universe_mode,survivorship_bias,n_assets,tickers_hash,tickers,status,agent_sharpe,agent_return,agent_dd,agent_vol,error_type,error_message,error_traceback,buy_and_hold_sharpe,buy_and_hold_return,equal_weight_sharpe,equal_weight_return,sp500_sharpe,sp500_return
0,2005-01-03,2007-07-06,2008-01-04,2008-04-04,42,static_current,known,5,4020ad4ff1ee,"AAPL,MSFT,GOOGL,AMZN,NVDA",success,-2.2630822508777246,-0.1786862812344652,-0.2676425788539879,0.3368927042777106,,,,-2.425251929333432,-0.21924037283301,-2.3228850010622675,-0.2128085168635169,-0.46539797029950813,-0.03232641864776553
0,2005-01-03,2007-07-06,2008-01-04,2008-04-04,43,static_current,known,5,4020ad4ff1ee,"AAPL,MSFT,GOOGL,AMZN,NVDA",success,-2.304956266164714,-0.1813860317532492,-0.254926162206687,0.3365247799784164,,,,-2.425251929333432,-0.21924037283301,-2.3228850010622675,-0.2128085168635169,-0.46539797029950813,-0.03232641864776553
0,2005-01-03,2007-07-06,2008-01-04,2008-04-04,44,static_current,known,5,4020ad4ff1ee,"AAPL,MSFT,GOOGL,AMZN,NVDA",success,-2.239038144555804,-0.175786427730171,-0.2719315242938531,0.3344927022445644,,,,-2.425251929333432,-0.21924037283301,-2.3228850010622675,-0.2128085168635169,-0.46539797029950813,-0.03232641864776553
1,2005-01-03,2007-10-04,2008-04-07,2008-07-03,42,static_current,known,5,4020ad4ff1ee,"AAPL,MSFT,GOOGL,AMZN,NVDA",success,-0.1793402833527186,-0.0150706496657035,-0.1246080862694903,0.2627545572810939,,,,-0.7348821194883487,-0.0620617353251602,-0.704242720166005,-0.0606522007784938,-2.0746893575525727,-0.07516441240265959
1,2005-01-03,2007-10-04,2008-04-07,2008-07-03,43,static_current,known,5,4020ad4ff1ee,"AAPL,MSFT,GOOGL,AMZN,NVDA",success,-0.5204398502523157,-0.0428744467979149,-0.1928118193266879,0.296446219921874,,,,-0.7348821194883487,-0.0620617353251602,-0.704242720166005,-0.0606522007784938,-2.0746893575525727,-0.07516441240265959
1,2005-01-03,2007-10-04,2008-04-07,2008-07-03,44,static_current,known,5,4020ad4ff1ee,"AAPL,MSFT,GOOGL,AMZN,NVDA",success,-0.261742304986804,-0.0284886927738056,-0.1756921045911753,0.3254142575589284,,,,-0.7348821194883487,-0.0620617353251602,-0.704242720166005,-0.0606522007784938,-2.0746893575525727,-0.07516441240265959
2,2005-01-03,2008-01-04,2008-07-07,2008-10-02,42,static_current,known,5,4020ad4ff1ee,"AAPL,MSFT,GOOGL,AMZN,NVDA",success,-1.520802398741303,-0.16676116715179,-0.2483904409929478,0.4365746900480773,,,,-1.7842946662822363,-0.2010658723991286,-1.8129191844349988,-0.2051490581865028,-1.1805275827202513,-0.12516285466473143
2,2005-01-03,2008-01-04,2008-07-07,2008-10-02,43,static_current,known,5,4020ad4ff1ee,"AAPL,MSFT,GOOGL,AMZN,NVDA",success,-1.7208788209513697,-0.1597988370636107,-0.2166353521256132,0.3799099974943859,,,,-1.7842946662822363,-0.2010658723991286,-1.8129191844349988,-0.2051490581865028,-1.1805275827202513,-0.12516285466473143
2,2005-01-03,2008-01-04,2008-07-07,2008-10-02,44,static_current,known,5,4020ad4ff1ee,"AAPL,MSFT,GOOGL,AMZN,NVDA",success,-2.164595321073337,-0.1760305928853238,-0.2158717804299728,0.344516638850858,,,,-1.7842946662822363,-0.2010658723991286,-1.8129191844349988,-0.2051490581865028,-1.1805275827202513,-0.12516285466473143
3,2005-01-03,2008-04-07,2008-10-03,2009-01-02,42,static_current,known,5,4020ad4ff1ee,"AAPL,MSFT,GOOGL,AMZN,NVDA",success,-0.2641970749668025,-0.0895750561212355,-0.2935607100285139,0.6723845790417833,,,,-0.4704183971728687,-0.1380551140702244,-0.3661327998418327,-0.1225258120210546,-0.6850005034742163,-0.11835671178810303
3,2005-01-03,2008-04-07,2008-10-03,2009-01-02,43,static_current,known,5,4020ad4ff1ee,"AAPL,MSFT,GOOGL,AMZN,NVDA",success,-0.3159082255403749,-0.0803958146537061,-0.2606029429407132,0.5920916256044022,,,,-0.4704183971728687,-0.1380551140702244,-0.3661327998418327,-0.1225258120210546,-0.6850005034742163,-0.11835671178810303
3,2005-01-03,2008-04-07,2008-10-03,2009-01-02,44,static_current,known,5,4020ad4ff1ee,"AAPL,MSFT,GOOGL,AMZN,NVDA",success,-0.20943857312576,-0.0849611253689692,-0.2907976755014966,0.6912071725704271,,,,-0.4704183971728687,-0.1380551140702244,-0.3661327998418327,-0.1225258120210546,-0.6850005034742163,-0.11835671178810303
4,2005-01-03,2008-07-07,2009-01-05,2009-04-03,42,static_current,known,5,4020ad4ff1ee,"AAPL,MSFT,GOOGL,AMZN,NVDA",success,2.1284779651067764,0.2173462027989061,-0.1454932764175208,0.4051276291406477,,,,1.7097661407809948,0.1966089769546497,1.7457785830622168,0.2012290332822508,-0.7913640175077986,-0.0986412870470893
4,2005-01-03,2008-07-07,2009-01-05,2009-04-03,43,static_current,known,5,4020ad4ff1ee,"AAPL,MSFT,GOOGL,AMZN,NVDA",success,1.699907144254808,0.1657358766782362,-0.1448687282447617,0.4029911693164072,,,,1.7097661407809948,0.1966089769546497,1.7457785830622168,0.2012290332822508,-0.7913640175077986,-0.0986412870470893
4,2005-01-03,2008-07-07,2009-01-05,2009-04-03,44,static_current,known,5,4020ad4ff1ee,"AAPL,MSFT,GOOGL,AMZN,NVDA",success,1.758971224604762,0.1740236779423256,-0.1441555324645683,0.4065965015295914,,,,1.7097661407809948,0.1966089769546497,1.7457785830622168,0.2012290332822508,-0.7913640175077986,-0.0986412870470893
5,2005-01-03,2008-10-03,2009-04-06,2009-07-06,42,static_current,known,5,4020ad4ff1ee,"AAPL,MSFT,GOOGL,AMZN,NVDA",success,1.4424549473517094,0.0840984516341423,-0.0883664143336553,0.2325161360310387,,,,1.2959898983964249,0.0888956711123274,1.309369521137447,0.0916278090367643,1.1695840439854355,0.1019802392925413
5,2005-01-03,2008-10-03,2009-04-06,2009-07-06,43,static_current,known,5,4020ad4ff1ee,"AAPL,MSFT,GOOGL,AMZN,NVDA",success,1.37602997434851,0.0822136553044794,-0.084940117379242,0.2398568328887676,,,,1.2959898983964249,0.0888956711123274,1.309369521137447,0.0916278090367643,1.1695840439854355,0.1019802392925413
5,2005-01-03,2008-10-03,2009-04-06,2009-07-06,44,static_current,known,5,4020ad4ff1ee,"AAPL,MSFT,GOOGL,AMZN,NVDA",success,1.2231160729270398,0.0756584003854317,-0.1020315208249854,0.2520820346937624,,,,1.2959898983964249,0.0888956711123274,1.309369521137447,0.0916278090367643,1.1695840439854355,0.1019802392925413
6,2005-01-03,2009-01-05,2009-07-07,2009-10-02,42,static_current,known,5,4020ad4ff1ee,"AAPL,MSFT,GOOGL,AMZN,NVDA",success,3.945409635769092,0.1985231871598392,-0.0345681465096973,0.1861475933953129,,,,3.962914302752926,0.2497962569688072,4.055416880368404,0.2517177399115571,3.6218611142810846,0.16559411954066783
6,2005-01-03,2009-01-05,2009-07-07,2009-10-02,43,static_current,known,5,4020ad4ff1ee,"AAPL,MSFT,GOOGL,AMZN,NVDA",success,3.523514545554091,0.1988480675735269,-0.0588666435103709,0.2101055531890718,,,,3.962914302752926,0.2497962569688072,4.055416880368404,0.2517177399115571,3.6218611142810846,0.16559411954066783
6,2005-01-03,2009-01-05,2009-07-07,2009-10-02,44,static_current,known,5,4020ad4ff1ee,"AAPL,MSFT,GOOGL,AMZN,NVDA",success,3.95274457285832,0.1975194934221253,-0.0351896110055322,0.1848804773038084,,,,3.962914302752926,0.2497962569688072,4.055416880368404,0.2517177399115571,3.6218611142810846,0.16559411954066783
7,2005-01-03,2009-04-06,2009-10-05,2010-01-04,42,static_current,known,5,4020ad4ff1ee,"AAPL,MSFT,GOOGL,AMZN,NVDA",success,5.214591338411986,0.231057920014462,-0.0437644975639763,0.1609361528768157,,,,5.337895252187395,0.3068221707904213,5.3747683499354695,0.3158533923482753,2.137445752277412,0.07420928938993399
7,2005-01-03,2009-04-06,2009-10-05,2010-01-04,43,static_current,known,5,4020ad4ff1ee,"AAPL,MSFT,GOOGL,AMZN,NVDA",success,5.2984245663838045,0.2311577511219602,-0.0423166538932524,0.1583800247088117,,,,5.337895252187395,0.3068221707904213,5.3747683499354695,0.3158533923482753,2.137445752277412,0.07420928938993399
7,2005-01-03,2009-04-06,2009-10-05,2010-01-04,44,static_current,known,5,4020ad4ff1ee,"AAPL,MSFT,GOOGL,AMZN,NVDA",success,5.206379133611725,0.25294908433887,-0.0466015005646128,0.1754665835675007,,,,5.337895252187395,0.3068221707904213,5.3747683499354695,0.3158533923482753,2.137445752277412,0.07420928938993399
8,2005-01-03,2009-07-07,2010-01-05,2010-04-06,42,static_current,known,5,4020ad4ff1ee,"AAPL,MSFT,GOOGL,AMZN,NVDA",success,-0.556762126212079,-0.0224341476396439,-0.109948142177046,0.1741430988185229,,,,-0.4774770416749792,-0.022901443314519,-0.4463034426262951,-0.0214683326376392,1.2209250904988485,0.04599251286921047
8,2005-01-03,2009-07-07,2010-01-05,2010-04-06,43,static_current,known,5,4020ad4ff1ee,"AAPL,MSFT,GOOGL,AMZN,NVDA",success,-0.8389098050248815,-0.0361509957019127,-0.123401392577192,0.18223856966895,,,,-0.4774770416749792,-0.022901443314519,-0.4463034426262951,-0.0214683326376392,1.2209250904988485,0.04599251286921047
8,2005-01-03,2009-07-07,2010-01-05,2010-04-06,44,static_current,known,5,4020ad4ff1ee,"AAPL,MSFT,GOOGL,AMZN,NVDA",success,-0.2766681757907654,-0.0094714711496078,-0.09977820111867,0.1634952708698815,,,,-0.4774770416749792,-0.022901443314519,-0.4463034426262951,-0.0214683326376392,1.2209250904988485,0.04599251286921047
9,2005-01-03,2009-10-05,2010-04-07,2010-07-06,42,static_current,known,5,4020ad4ff1ee,"AAPL,MSFT,GOOGL,AMZN,NVDA",success,-2.8659121865142985,-0.1612395943314044,-0.200952509909485,0.245458905943621,,,,-2.8534282425060638,-0.1955637660962199,-2.9520161378211425,-0.2036720112709303,-2.265583972798809,-0.13349169838700647
9,2005-01-03,2009-10-05,2010-04-07,2010-07-06,43,static_current,known,5,4020ad4ff1ee,"AAPL,MSFT,GOOGL,AMZN,NVDA",success,-2.7824750468990547,-0.1636994039158328,-0.201418010142484,0.2561262498868351,,,,-2.8534282425060638,-0.1955637660962199,-2.9520161378211425,-0.2036720112709303,-2.265583972798809,-0.13349169838700647
9,2005-01-03,2009-10-05,2010-04-07,2010-07-06,44,static_current,known,5,4020ad4ff1ee,"AAPL,MSFT,GOOGL,AMZN,NVDA",success,-3.051825989373331,-0.1855617608780881,-0.2259875241614627,0.2676811865483854,,,,-2.8534282425060638,-0.1955637660962199,-2.9520161378211425,-0.2036720112709303,-2.265583972798809,-0.13349169838700647
10,2005-01-03,2010-01-05,2010-07-07,2010-10-04,42,static_current,known,5,4020ad4ff1ee,"AAPL,MSFT,GOOGL,AMZN,NVDA",success,1.8951390394431893,0.0817590609779896,-0.0632509940266889,0.1653165919061263,,,,2.29168349652401,0.1285516779510429,2.263724879862673,0.1270625106409706,1.5939612936218974,0.06239666367379004
10,2005-01-03,2010-01-05,2010-07-07,2010-10-04,43,static_current,known,5,4020ad4ff1ee,"AAPL,MSFT,GOOGL,AMZN,NVDA",success,2.531678244469794,0.1314146884343101,-0.0569256787523592,0.1982968134824433,,,,2.29168349652401,0.1285516779510429,2.263724879862673,0.1270625106409706,1.5939612936218974,0.06239666367379004
10,2005-01-03,2010-01-05,2010-07-07,2010-10-04,44,static_current,known,5,4020ad4ff1ee,"AAPL,MSFT,GOOGL,AMZN,NVDA",success,2.989932020639436,0.1428167678521139,-0.0487851411006109,0.180418201722019,,,,2.29168349652401,0.1285516779510429,2.263724879862673,0.1270625106409706,1.5939612936218974,0.06239666367379004
11,2005-01-03,2010-04-07,2010-10-05,2011-01-03,42,static_current,known,5,4020ad4ff1ee,"AAPL,MSFT,GOOGL,AMZN,NVDA",success,3.807750078469812,0.1605839777499349,-0.043250515597777,0.1571230661658181,,,,3.8574440954746327,0.189759165276574,3.863977691087469,0.1899878008600994,3.1423178078415455,0.09646803558736394
11,2005-01-03,2010-04-07,2010-10-05,2011-01-03,43,static_current,known,5,4020ad4ff1ee,"AAPL,MSFT,GOOGL,AMZN,NVDA",success,3.966335793898328,0.1909698760564098,-0.0482850623451942,0.1782758200050763,,,,3.8574440954746327,0.189759165276574,3.863977691087469,0.1899878008600994,3.1423178078415455,0.09646803558736394
11,2005-01-03,2010-04-07,2010-10-05,2011-01-03,44,static_current,known,5,4020ad4ff1ee,"AAPL,MSFT,GOOGL,AMZN,NVDA",success,3.9679510699150087,0.155159368798063,-0.0410128430181851,0.1455314593943674,,,,3.8574440954746327,0.189759165276574,3.863977691087469,0.1899878008600994,3.1423178078415455,0.09646803558736394
